qini,baseline,share_users
2806.9946,1600.6777,0.386327
2810.9946,1602.7485,0.386827
2811.9946,1604.8192,0.387326
2813.9946,1606.8899,0.387826
2809.328,1608.9607,0.388326
2809.328,1611.0314,0.388826
2809.328,1613.1022,0.389326
2810.328,1615.1729,0.389825
2812.328,1617.2437,0.390325
2808.6611,1619.3143,0.390825
2809.6611,1621.3851,0.391325
2809.6611,1623.4558,0.391824
2810.6611,1625.5266,0.392324
2810.6611,1627.5973,0.392824
2811.6611,1629.668,0.393324
2814.6611,1631.7388,0.393824
2815.6611,1633.8094,0.394323
2809.9944,1635.8802,0.394823
2810.9944,1637.9509,0.395323
2811.9944,1640.0217,0.395823
2807.328,1642.0924,0.396322
2809.328,1644.1632,0.396822
2809.328,1646.2339,0.397322
2811.328,1648.3047,0.397822
2814.328,1650.3754,0.398322
2816.328,1652.446,0.398821
2816.328,1654.5168,0.399321
2818.328,1656.5875,0.399821
2820.328,1658.6583,0.400321
2821.328,1660.729,0.40082
2822.328,1662.7998,0.40132
2825.328,1664.8705,0.40182
2827.328,1666.9413,0.40232
2831.328,1669.012,0.40282
2833.328,1671.0828,0.403319
2839.328,1673.1534,0.403819
2843.328,1675.2241,0.404319
2844.328,1677.2949,0.404819
2847.328,1679.3656,0.405318
2848.328,1681.4364,0.405818
2850.328,1683.5071,0.406318
2852.328,1685.5779,0.406818
2854.328,1687.6486,0.407318
2855.328,1689.7194,0.407817
2856.328,1691.79,0.408317
2857.328,1693.8608,0.408817
2860.328,1695.9315,0.409317
2857.6611,1698.0023,0.409816
2852.9944,1700.073,0.410316
2852.9944,1702.1437,0.410816
2855.9944,1704.2145,0.411316
2858.9944,1706.2852,0.411816
2860.9944,1708.356,0.412315
2861.9944,1710.4266,0.412815
2863.9944,1712.4974,0.413315
2863.328,1714.5681,0.413815
2858.6611,1716.6389,0.414314
2861.6611,1718.7096,0.414814
2864.6611,1720.7804,0.415314
2867.6611,1722.8511,0.415814
2868.6611,1724.9218,0.416313
2868.6611,1726.9926,0.416813
2868.6611,1729.0632,0.417313
2869.6611,1731.134,0.417813
2872.6611,1733.2047,0.418313
2875.6611,1735.2755,0.418812
2876.6611,1737.3462,0.419312
2878.6611,1739.417,0.419812
2881.6611,1741.4877,0.420312
2882.6611,1743.5585,0.420811
2882.6611,1745.6292,0.421311
2886.6611,1747.6998,0.421811
2887.6611,1749.7706,0.422311
2888.6611,1751.8413,0.422811
2888.6611,1753.9121,0.42331
2888.6611,1755.9828,0.42381
2890.6611,1758.0536,0.42431
2891.6611,1760.1243,0.42481
2893.6611,1762.1951,0.425309
2893.6611,1764.2657,0.425809
2894.6611,1766.3365,0.426309
2898.6611,1768.4072,0.426809
2900.6611,1770.478,0.427309
2900.6611,1772.5487,0.427808
2895.9944,1774.6194,0.428308
2895.9944,1776.6902,0.428808
2896.9944,1778.7609,0.429308
2898.9944,1780.8317,0.429807
2899.9944,1782.9023,0.430307
2899.9944,1784.9731,0.430807
2899.9944,1787.0438,0.431307
2899.9944,1789.1146,0.431807
2891.6611,1791.1853,0.432306
2892.6611,1793.2561,0.432806
2894.6611,1795.3268,0.433306
2895.6611,1797.3975,0.433806
2896.6611,1799.4683,0.434305
2896.6611,1801.539,0.434805
2896.6611,1803.6097,0.435305
2897.6611,1805.6804,0.435805
2892.9944,1807.7512,0.436305
